<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;10;15/01/18;11:30;203.1000000
SBERP;10;15/01/18;11:40;203.0500000
SBERP;10;15/01/18;11:50;202.1700000
SBERP;10;15/01/18;12:00;201.8100000
SBERP;10;15/01/18;12:10;202.7900000
SBERP;10;15/01/18;12:20;202.6700000
SBERP;10;15/01/18;12:30;202.6300000
SBERP;10;15/01/18;12:40;202.6000000
SBERP;10;15/01/18;12:50;202.5000000
SBERP;10;15/01/18;13:00;202.7600000
SBERP;10;15/01/18;13:10;202.2200000
SBERP;10;15/01/18;13:20;202.4100000
SBERP;10;15/01/18;13:30;202.1000000
SBERP;10;15/01/18;13:40;202.3100000
SBERP;10;15/01/18;13:50;202.3200000
SBERP;10;15/01/18;14:00;202.6000000
SBERP;10;15/01/18;14:10;202.5000000
SBERP;10;15/01/18;14:20;202.8500000
SBERP;10;15/01/18;14:30;202.5200000
SBERP;10;15/01/18;14:40;202.4400000
SBERP;10;15/01/18;14:50;202.8200000
SBERP;10;15/01/18;15:00;202.8600000
SBERP;10;15/01/18;15:10;202.4900000
SBERP;10;15/01/18;15:20;202.4300000
SBERP;10;15/01/18;15:30;202.2100000
SBERP;10;15/01/18;15:40;202.0600000
SBERP;10;15/01/18;15:50;202.0700000
SBERP;10;15/01/18;16:00;201.5600000
SBERP;10;15/01/18;16:10;201.6700000
SBERP;10;15/01/18;16:20;201.8200000
SBERP;10;15/01/18;16:30;202.0000000
SBERP;10;15/01/18;16:40;202.1900000
SBERP;10;15/01/18;16:50;202.4000000
SBERP;10;15/01/18;17:00;202.5900000
SBERP;10;15/01/18;17:10;202.6400000
SBERP;10;15/01/18;17:20;201.9700000
SBERP;10;15/01/18;17:30;201.9500000
SBERP;10;15/01/18;17:40;202.1400000
SBERP;10;15/01/18;17:50;202.1200000
SBERP;10;15/01/18;18:00;201.9700000
SBERP;10;15/01/18;18:10;202.0500000
SBERP;10;15/01/18;18:20;202.1000000
SBERP;10;15/01/18;18:30;202.0500000
SBERP;10;15/01/18;18:40;201.9000000
SBERP;10;15/01/18;18:50;201.9000000
SBERP;10;16/01/18;10:10;202.4000000
SBERP;10;16/01/18;10:20;201.9000000
SBERP;10;16/01/18;10:30;201.6200000
SBERP;10;16/01/18;10:40;201.0600000
SBERP;10;16/01/18;10:50;200.9900000
SBERP;10;16/01/18;11:00;201.1400000
SBERP;10;16/01/18;11:10;201.2000000
SBERP;10;16/01/18;11:20;201.4300000
SBERP;10;16/01/18;11:30;200.9700000
SBERP;10;16/01/18;11:40;201.1000000
SBERP;10;16/01/18;11:50;200.8200000
SBERP;10;16/01/18;12:00;200.8000000
SBERP;10;16/01/18;12:10;200.4100000
SBERP;10;16/01/18;12:20;200.0500000
SBERP;10;16/01/18;12:30;200.3400000
SBERP;10;16/01/18;12:40;200.7400000
SBERP;10;16/01/18;12:50;200.5700000
SBERP;10;16/01/18;13:00;200.1600000
SBERP;10;16/01/18;13:10;200.0000000
SBERP;10;16/01/18;13:20;200.0100000
SBERP;10;16/01/18;13:30;199.8200000
SBERP;10;16/01/18;13:40;199.9000000
SBERP;10;16/01/18;13:50;199.8600000
SBERP;10;16/01/18;14:00;199.8600000
SBERP;10;16/01/18;14:10;199.2600000
SBERP;10;16/01/18;14:20;199.8600000
SBERP;10;16/01/18;14:30;199.9600000
SBERP;10;16/01/18;14:40;199.9400000
SBERP;10;16/01/18;14:50;200.2900000
SBERP;10;16/01/18;15:00;200.8000000
SBERP;10;16/01/18;15:10;200.6300000
SBERP;10;16/01/18;15:20;200.6400000
SBERP;10;16/01/18;15:30;201.2200000
SBERP;10;16/01/18;15:40;201.1800000
SBERP;10;16/01/18;15:50;200.7300000
SBERP;10;16/01/18;16:00;200.3700000
SBERP;10;16/01/18;16:10;200.4100000
SBERP;10;16/01/18;16:20;201.0100000
SBERP;10;16/01/18;16:30;201.2000000
SBERP;10;16/01/18;16:40;200.8600000
SBERP;10;16/01/18;16:50;200.4600000
SBERP;10;16/01/18;17:00;200.5100000
SBERP;10;16/01/18;17:10;200.3400000
SBERP;10;16/01/18;17:20;200.3500000
SBERP;10;16/01/18;17:30;200.5000000
SBERP;10;16/01/18;17:40;200.4000000
SBERP;10;16/01/18;17:50;200.5000000
SBERP;10;16/01/18;18:00;200.6900000
SBERP;10;16/01/18;18:10;200.7500000
SBERP;10;16/01/18;18:20;200.8500000
SBERP;10;16/01/18;18:30;200.4300000
SBERP;10;16/01/18;18:40;200.4700000
SBERP;10;16/01/18;18:50;200.8200000
SBERP;10;17/01/18;10:10;199.7400000
SBERP;10;17/01/18;10:20;199.5000000
SBERP;10;17/01/18;10:30;199.9100000
SBERP;10;17/01/18;10:40;200.1500000
SBERP;10;17/01/18;10:50;199.9300000
SBERP;10;17/01/18;11:00;200.0400000
SBERP;10;17/01/18;11:10;200.0000000
SBERP;10;17/01/18;11:20;200.2500000
SBERP;10;17/01/18;11:30;200.4300000
SBERP;10;17/01/18;11:40;200.4000000
SBERP;10;17/01/18;11:50;200.4000000
SBERP;10;17/01/18;12:00;200.3500000
SBERP;10;17/01/18;12:10;200.4500000
SBERP;10;17/01/18;12:20;200.4300000
SBERP;10;17/01/18;12:30;200.3500000
SBERP;10;17/01/18;12:40;200.4400000
SBERP;10;17/01/18;12:50;200.9000000
SBERP;10;17/01/18;13:00;200.7100000
SBERP;10;17/01/18;13:10;200.4800000
SBERP;10;17/01/18;13:20;201.5200000
SBERP;10;17/01/18;13:30;201.2600000
SBERP;10;17/01/18;13:40;201.0200000
SBERP;10;17/01/18;13:50;200.6500000
SBERP;10;17/01/18;14:00;200.8000000
SBERP;10;17/01/18;14:10;201.0200000
SBERP;10;17/01/18;14:20;201.1100000
SBERP;10;17/01/18;14:30;201.2600000
SBERP;10;17/01/18;14:40;201.6100000
SBERP;10;17/01/18;14:50;201.5000000
SBERP;10;17/01/18;15:00;201.2500000
SBERP;10;17/01/18;15:10;201.3200000
SBERP;10;17/01/18;15:20;201.1500000
SBERP;10;17/01/18;15:30;201.1900000
SBERP;10;17/01/18;15:40;201.0200000
SBERP;10;17/01/18;15:50;200.9900000
SBERP;10;17/01/18;16:00;200.9000000
SBERP;10;17/01/18;16:10;200.8000000
SBERP;10;17/01/18;16:20;200.9300000
SBERP;10;17/01/18;16:30;200.7500000
SBERP;10;17/01/18;16:40;200.6500000
SBERP;10;17/01/18;16:50;200.3000000
SBERP;10;17/01/18;17:00;200.5400000
SBERP;10;17/01/18;17:10;200.6400000
SBERP;10;17/01/18;17:20;200.4700000
SBERP;10;17/01/18;17:30;200.6000000
SBERP;10;17/01/18;17:40;201.0000000
SBERP;10;17/01/18;17:50;200.4900000
SBERP;10;17/01/18;18:00;200.2100000
SBERP;10;17/01/18;18:10;200.9900000
SBERP;10;17/01/18;18:20;200.9900000
SBERP;10;17/01/18;18:30;201.1800000
SBERP;10;17/01/18;18:40;201.1500000
SBERP;10;17/01/18;18:50;201.3400000
SBERP;10;18/01/18;10:10;202.9900000
